Delta,case,A,time,linear_drho2_over_epsilon,nonlinear_drho2_over_epsilon
0.001,EP,0.18061960298019653,224.20000000000002,0.03271863252738992,0.033425849966794985
0.001,EP,0.18061960298019653,224.4,0.03258532868399611,0.03329013639752354
0.001,EP,0.18061960298019653,224.60000000000002,0.03245254851875272,0.03315495346489783
0.001,EP,0.18061960298019653,224.8,0.03232029008638633,0.03302029921048444
0.001,EP,0.18061960298019653,225.0,0.03218855144818191,0.03288617168584196
0.001,EP,0.18061960298019653,225.20000000000002,0.032057330671962085,0.032752568943639204
0.001,EP,0.18061960298019653,225.4,0.031926625832071405,0.032619489046537
0.001,EP,0.18061960298019653,225.60000000000002,0.03179643500935781,0.03248693006274728
0.001,EP,0.18061960298019653,225.8,0.031666756291154494,0.032354890067143316
0.001,EP,0.18061960298019653,226.0,0.0315375877712619,0.032223367140149506
0.001,EP,0.18061960298019653,226.20000000000002,0.031408927549931256,0.032092359368851575
0.001,EP,0.18061960298019653,226.4,0.031280773733845774,0.031961864848106813
0.001,EP,0.18061960298019653,226.60000000000002,0.031153124436102943,0.031831881678323626
0.001,EP,0.18061960298019653,226.8,0.03102597777619713,0.03170240796546153
0.001,EP,0.18061960298019653,227.0,0.030899331880001664,0.03157344182325161
0.001,EP,0.18061960298019653,227.20000000000002,0.0307731848797514,0.03144498136986584
0.001,EP,0.18061960298019653,227.4,0.030647534914025134,0.03131702473235798
0.001,EP,0.18061960298019653,227.60000000000002,0.030522380127727126,0.03118957004222267
0.001,EP,0.18061960298019653,227.8,0.030397718672070934,0.031062615437615904
0.001,EP,0.18061960298019653,228.0,0.030273548704560498,0.030936159063355007
0.001,EP,0.18061960298019653,228.20000000000002,0.030149868388973124,0.030810199068698196
0.001,EP,0.18061960298019653,228.4,0.030026675895342716,0.030684733612895698
0.001,EP,0.18061960298019653,228.60000000000002,0.029903969399940323,0.030559760858528406
0.001,EP,0.18061960298019653,228.8,0.029781747085258638,0.03043527897372833
0.001,EP,0.18061960298019653,229.0,0.029660007139993522,0.030311286136619486
0.001,EP,0.18061960298019653,229.20000000000002,0.029538747759026665,0.030187780526436114
0.001,EP,0.18061960298019653,229.4,0.029417967143408382,0.030064760331294238
0.001,EP,0.18061960298019653,229.60000000000002,0.02929766350033957,0.029942223748191665
0.001,EP,0.18061960298019653,229.8,0.029177835043155548,0.029820168974126204
0.001,EP,0.18061960298019653,230.0,0.02905847999130799,0.029698594217197893
0.001,EP,0.18061960298019653,230.20000000000002,0.028939596570346768,0.029577497687727217
0.001,EP,0.18061960298019653,230.4,0.02882118301190434,0.02945687760713689
0.001,EP,0.18061960298019653,230.60000000000002,0.028703237553676673,0.029336732197959847
0.001,EP,0.18061960298019653,230.8,0.028585758439408512,0.02921705969050059
0.001,EP,0.18061960298019653,231.0,0.028468743918872726,0.02909785832283518
0.001,EP,0.18061960298019653,231.20000000000002,0.02835219224785613,0.028979126336370342
0.001,EP,0.18061960298019653,231.4,0.028236101688141235,0.028860861979174146
0.001,EP,0.18061960298019653,231.60000000000002,0.02812047050748781,0.02874306350708622
0.001,EP,0.18061960298019653,231.8,0.02800529697961788,0.028625729180387083
0.001,EP,0.18061960298019653,232.0,0.027890579384197617,0.02850885726379815
0.001,EP,0.18061960298019653,232.20000000000002,0.027776316006820026,0.028392446030922613
0.001,EP,0.18061960298019653,232.4,0.027662505138988415,0.028276493758694343
0.001,EP,0.18061960298019653,232.60000000000002,0.027549145078098976,0.028160998732928988
0.001,EP,0.18061960298019653,232.8,0.02743623412742369,0.02804595924388309
0.001,EP,0.18061960298019653,233.0,0.027323770596094338,0.02793137358514386
0.001,EP,0.18061960298019653,233.20000000000002,0.02721175279908438,0.027817240060290516
0.001,EP,0.18061960298019653,233.4,0.027100179057192367,0.0277035569740125
0.001,EP,0.18061960298019653,233.60000000000002,0.026989047697025193,0.027590322642101484
0.001,EP,0.18061960298019653,233.8,0.026878357050981426,0.027477535382569584
0.001,EP,0.18061960298019653,234.0,0.026768105457234608,0.02736519352120048
0.001,EP,0.18061960298019653,234.20000000000002,0.026658291259714816,0.027253295387108523
0.001,EP,0.18061960298019653,234.4,0.026548912808094304,0.027141839317179617
0.001,EP,0.18061960298019653,234.60000000000002,0.02643996845776977,0.027030823652740565
0.001,EP,0.18061960298019653,234.8,0.02633145656984403,0.02692024674288973
0.001,EP,0.18061960298019653,235.0,0.026223375511112288,0.02681010693894592
0.001,EP,0.18061960298019653,235.20000000000002,0.026115723654042956,0.026700402599999506
0.001,EP,0.18061960298019653,235.4,0.026008499376762396,0.026591132092912417
0.001,EP,0.18061960298019653,235.60000000000002,0.025901701063037696,0.02648229378676703
0.001,EP,0.18061960298019653,235.8,0.025795327102260332,0.02637388605730706
0.001,EP,0.18061960298019653,236.0,0.025689375889429173,0.02626590728582734
0.001,EP,0.18061960298019653,236.20000000000002,0.025583845825135215,0.02615835585917381
0.001,EP,0.18061960298019653,236.4,0.025478735315543115,0.026051230170853756
0.001,EP,0.18061960298019653,236.60000000000002,0.02537404277237634,0.02594452861770513
0.001,EP,0.18061960298019653,236.8,0.025269766612900445,0.025838249605447672
0.001,EP,0.18061960298019653,237.0,0.02516590525990537,0.02573239154202156
0.001,EP,0.18061960298019653,237.20000000000002,0.02506245714169097,0.02562695284313854
0.001,EP,0.18061960298019653,237.4,0.024959420692049553,0.025521931927841024
0.001,EP,0.18061960298019653,237.60000000000002,0.024856794350249158,0.025417327222942987
0.001,EP,0.18061960298019653,237.8,0.024754576561018826,0.025313137158589072
0.001,EP,0.18061960298019653,238.0,0.024652765774530367,0.025209360172695483
0.001,EP,0.18061960298019653,238.20000000000002,0.024551360446383636,0.02510599470539887
0.001,EP,0.18061960298019653,238.4,0.024450359037589797,0.02500303920571767
0.001,EP,0.18061960298019653,238.60000000000002,0.024349760014554217,0.024900492126000984
0.001,EP,0.18061960298019653,238.8,0.024249561849062747,0.02479835192414903
0.001,EP,0.18061960298019653,239.0,0.024149763018262646,0.024696617063613147
0.001,EP,0.18061960298019653,239.20000000000002,0.02405036200464898,0.024595286014506
0.001,EP,0.18061960298019653,239.4,0.02395135729604681,0.024494357249160714
0.001,EP,0.18061960298019653,239.60000000000002,0.023852747385595632,0.024393829248792187
0.001,EP,0.18061960298019653,239.8,0.023754530771734384,0.02429370049794599
0.001,EP,0.18061960298019653,240.0,0.023656705958184317,0.02419396948560859
0.001,EP,0.18061960298019653,240.20000000000002,0.023559271453932717,0.024094634709648233
0.001,EP,0.18061960298019653,240.4,0.023462225773219037,0.023995694667933165
0.001,EP,0.18061960298019653,240.60000000000002,0.023365567435516356,0.023897147868323643
0.001,EP,0.18061960298019653,240.8,0.023269294965517405,0.023798992820900366
0.001,EP,0.18061960298019653,241.0,0.023173406893118347,0.023701228042405376
0.001,EP,0.18061960298019653,241.20000000000002,0.023077901753402713,0.023603852055131824
