case,A,time,delta_r_over_epsilon,delta_psi_over_epsilon
stable_node,0.17840322435994352,524.9324319447527,0.005989968986318276,-0.001827261947354952
stable_node,0.17840322435994352,525.3387263967223,0.00596340606925412,-0.0018191588656488202
stable_node,0.17840322435994352,525.745020848692,0.005936960946306387,-0.0018110917168528977
stable_node,0.17840322435994352,526.1513153006615,0.005910633095125988,-0.001803060341632003
stable_node,0.17840322435994352,526.5576097526312,0.0058844219956801285,-0.0017950645813574072
stable_node,0.17840322435994352,526.9639042046008,0.0058583271302417046,-0.0017871042781036123
stable_node,0.17840322435994352,527.3701986565704,0.005832347983379408,-0.0017791792746453296
stable_node,0.17840322435994352,527.7764931085401,0.005806484041947422,-0.001771289414454339
stable_node,0.17840322435994352,528.1827875605097,0.0057807347950750146,-0.0017634345416963216
stable_node,0.17840322435994352,528.5890820124793,0.005755099734157182,-0.0017556145012279933
stable_node,0.17840322435994352,528.9953764644489,0.005729578352843495,-0.0017478291385937294
stable_node,0.17840322435994352,529.4016709164185,0.005704170147029305,-0.0017400783000228485
stable_node,0.17840322435994352,529.8079653683882,0.005678874614844936,-0.001732361832426348
stable_node,0.17840322435994352,530.2142598203578,0.005653691256646117,-0.001724679583393975
stable_node,0.17840322435994352,530.6205542723275,0.005628619575004116,-0.0017170314011912126
stable_node,0.17840322435994352,531.026848724297,0.0056036590746957275,-0.0017094171347562432
stable_node,0.17840322435994352,531.4331431762666,0.005578809262693855,-0.001701836633697052
stable_node,0.17840322435994352,531.8394376282363,0.005554069648157251,-0.0016942897482883355
stable_node,0.17840322435994352,532.2457320802059,0.005529439742421534,-0.0016867763294687193
stable_node,0.17840322435994352,532.6520265321756,0.005504919058988634,-0.0016792962288375815
stable_node,0.17840322435994352,533.0583209841451,0.005480507113518095,-0.001671849298652371
stable_node,0.17840322435994352,533.4646154361147,0.005456203423817004,-0.0016644353918255426
stable_node,0.17840322435994352,533.8709098880844,0.005432007509830375,-0.001657054361921647
stable_node,0.17840322435994352,534.277204340054,0.005407918893632226,-0.0016497060631545748
stable_node,0.17840322435994352,534.6834987920237,0.005383937099415303,-0.0016423903503844557
stable_node,0.17840322435994352,535.0897932439933,0.005360061653482495,-0.0016351070791150223
stable_node,0.17840322435994352,535.4960876959628,0.0053362920842372425,-0.0016278561054906837
stable_node,0.17840322435994352,535.9023821479325,0.0053126279221738515,-0.0016206372862935861
stable_node,0.17840322435994352,536.3086765999021,0.005289068699868548,-0.0016134504789408802
stable_node,0.17840322435994352,536.7149710518718,0.005265613951970301,-0.0016062955414819172
stable_node,0.17840322435994352,537.1212655038414,0.005242263215191566,-0.001599172332595426
stable_node,0.17840322435994352,537.5275599558111,0.00521901602829898,-0.0015920807115866863
stable_node,0.17840322435994352,537.9338544077806,0.005195871932104485,-0.0015850205383848102
stable_node,0.17840322435994352,538.3401488597502,0.005172830469456092,-0.00157799167353994
stable_node,0.17840322435994352,538.7464433117199,0.005149891185228979,-0.001570993978220515
stable_node,0.17840322435994352,539.1527377636895,0.005127053626316281,-0.0015640273142104838
stable_node,0.17840322435994352,539.5590322156592,0.005104317341620562,-0.0015570915439066862
stable_node,0.17840322435994352,539.9653266676287,0.0050816818820445045,-0.0015501865303160247
stable_node,0.17840322435994352,540.3716211195983,0.005059146800482136,-0.0015433121370527862
stable_node,0.17840322435994352,540.777915571568,0.005036711651810123,-0.0015364682283359927
stable_node,0.17840322435994352,541.1842100235376,0.005014375992878881,-0.0015296546689866754
stable_node,0.17840322435994352,541.5905044755073,0.004992139382504049,-0.0015228713244252899
stable_node,0.17840322435994352,541.9967989274769,0.004970001381457118,-0.0015161180606688609
stable_node,0.17840322435994352,542.4030933794464,0.0049479615524577365,-0.001509394744328617
stable_node,0.17840322435994352,542.8093878314161,0.004926019460164188,-0.0015027012426071062
stable_node,0.17840322435994352,543.2156822833857,0.004904174671165432,-0.00149603742329576
stable_node,0.17840322435994352,543.6219767353554,0.004882426753972117,-0.0014894031547721543
stable_node,0.17840322435994352,544.028271187325,0.004860775279008221,-0.0014827983059974624
stable_node,0.17840322435994352,544.4345656392945,0.004839219818602721,-0.0014762227465139096
stable_node,0.17840322435994352,544.8408600912642,0.004817759946980747,-0.0014696763464420836
stable_node,0.17840322435994352,545.2471545432338,0.004796395240255629,-0.001463158976478504
stable_node,0.17840322435994352,545.6534489952035,0.00477512527642032,-0.0014566705078930024
stable_node,0.17840322435994352,546.0597434471731,0.004753949635338954,-0.0014502108125261613
stable_node,0.17840322435994352,546.4660378991427,0.004732867898738734,-0.0014437797627868264
stable_node,0.17840322435994352,546.8723323511123,0.004711879650201614,-0.001437377231649582
stable_node,0.17840322435994352,547.2786268030819,0.004690984475155972,-0.001431003092652203
stable_node,0.17840322435994352,547.6849212550516,0.004670181960868619,-0.001424657219893221
stable_node,0.17840322435994352,548.0912157070212,0.004649471696436446,-0.001418339488029378
stable_node,0.17840322435994352,548.4975101589908,0.004628853272778487,-0.001412049772273208
stable_node,0.17840322435994352,548.9038046109605,0.004608326282627695,-0.0014057879483905232
stable_node,0.17840322435994352,549.31009906293,0.0045878903205229735,-0.0013995538926979882
stable_node,0.17840322435994352,549.7163935148997,0.004567544982801191,-0.0013933474820606857
stable_node,0.17840322435994352,550.1226879668693,0.00454728986758912,-0.0013871685938896562
stable_node,0.17840322435994352,550.528982418839,0.004527124574795726,-0.0013810171061395444
stable_node,0.17840322435994352,550.9352768708086,0.004507048706103885,-0.0013748928973060784
stable_node,0.17840322435994352,551.3415713227781,0.004487061864962716,-0.0013687958464237335
stable_node,0.17840322435994352,551.7478657747478,0.0044671636565800695,-0.0013627258330634266
stable_node,0.17840322435994352,552.1541602267174,0.004447353687914076,-0.001356682737329959
stable_node,0.17840322435994352,552.560454678687,0.004427631567665972,-0.0013506664398598163
stable_node,0.17840322435994352,552.9667491306567,0.004407996906272005,-0.0013446768218187027
stable_node,0.17840322435994352,553.3730435826263,0.004388449315895982,-0.001338713764899266
stable_node,0.17840322435994352,553.7793380345959,0.004368988410421307,-0.0013327771513186786
stable_node,0.17840322435994352,554.1856324865655,0.004349613805443799,-0.0013268668638164323
stable_node,0.17840322435994352,554.5919269385352,0.004330325118263723,-0.0013209827856519218
stable_node,0.17840322435994352,554.9982213905048,0.004311121967878288,-0.0013151248006021518
stable_node,0.17840322435994352,555.4045158424744,0.004292003974974307,-0.0013092927929594963
stable_node,0.17840322435994352,555.8108102944441,0.004272970761920576,-0.001303486647529378
stable_node,0.17840322435994352,556.2171047464136,0.004254021952760467,-0.0012977062496280045
stable_node,0.17840322435994352,556.6233991983833,0.004235157173204282,-0.0012919514850800477
stable_node,0.17840322435994352,557.0296936503529,0.0042163760506223795,-0.0012862222402165295
stable_node,0.17840322435994352,557.4359881023225,0.004197678214037051,-0.001280518401872367
stable_node,0.17840322435994352,557.8422825542922,0.004179063294116098,-0.0012748398573843897
stable_node,0.17840322435994352,558.2485770062617,0.004160530923164755,-0.001269186494588897
stable_node,0.17840322435994352,558.6548714582314,0.004142080735118801,-0.0012635582018195434
stable_node,0.17840322435994352,559.061165910201,0.0041237123655373485,-0.0012579548679051487
stable_node,0.17840322435994352,559.4674603621706,0.004105425451595539,-0.0012523763821674612
stable_node,0.17840322435994352,559.8737548141403,0.004087219632077327,-0.0012468226344189684
stable_node,0.17840322435994352,560.2800492661099,0.004069094547368551,-0.001241293514960773
stable_node,0.17840322435994352,560.6863437180795,0.004051049839449742,-0.0012357889145804012
stable_node,0.17840322435994352,561.0926381700491,0.004033085151888724,-0.0012303087245495608
stable_node,0.17840322435994352,561.4989326220187,0.004015200129834269,-0.00122485283662218
stable_node,0.17840322435994352,561.9052270739884,0.003997394420008267,-0.0012194211430320483
stable_node,0.17840322435994352,562.311521525958,0.003979667670699663,-0.0012140135364909386
stable_node,0.17840322435994352,562.7178159779277,0.003962019531756715,-0.0012086299101862674
stable_node,0.17840322435994352,563.1241104298972,0.003944449654580336,-0.001203270157779063
stable_node,0.17840322435994352,563.5304048818668,0.00392695769211738,-0.0011979341734019019
stable_node,0.17840322435994352,563.9366993338365,0.003909543298853606,-0.0011926218516567818
stable_node,0.17840322435994352,564.3429937858061,0.0038922061308069794,-0.001187333087613066
stable_node,0.17840322435994352,564.7492882377758,0.0038749458455208173,-0.0011820677768053952
stable_node,0.17840322435994352,565.1555826897453,0.003857762102056934,-0.0011768258152316025
stable_node,0.17840322435994352,565.561877141715,0.0038406545609890454,-0.0011716070993506977
stable_node,0.17840322435994352,565.9681715936846,0.0038236228843959398,-0.0011664115260807875
stable_node,0.17840322435994352,566.3744660456542,0.0038066667358551405,-0.00116123899279713
stable_node,0.17840322435994352,566.7807604976239,0.0037897857804356306,-0.0011560893973299403
stable_node,0.17840322435994352,567.1870549495935,0.0037729796846919087,-0.0011509626379625532
stable_node,0.17840322435994352,567.593349401563,0.003756248116656834,-0.0011458586134292575
stable_node,0.17840322435994352,567.9996438535327,0.0037395907458356577,-0.0011407772229134634
stable_node,0.17840322435994352,568.4059383055023,0.0037230072431989007,-0.0011357183660455426
stable_node,0.17840322435994352,568.812232757472,0.003706497281176255,-0.0011306819429009573
stable_node,0.17840322435994352,569.2185272094416,0.0036900605336499894,-0.0011256678539982563
stable_node,0.17840322435994352,569.6248216614113,0.0036736966759484645,-0.0011206760002970952
stable_node,0.17840322435994352,570.0311161133808,0.003657405384839829,-0.0011157062831963116
stable_node,0.17840322435994352,570.4374105653504,0.003641186338525477,-0.0011107586045319329
stable_node,0.17840322435994352,570.8437050173201,0.003625039216633861,-0.0011058328665752883
stable_node,0.17840322435994352,571.2499994692897,0.0036089637002141486,-0.0011009289720310695
stable_node,0.17840322435994352,571.6562939212594,0.003592959471729793,-0.0010960468240353777
stable_node,0.17840322435994352,572.0625883732289,0.003577026215052265,-0.001091186326153809
stable_node,0.17840322435994352,572.4688828251985,0.0035611636154550185,-0.0010863473823796098
stable_node,0.17840322435994352,572.8751772771682,0.0035453713596070324,-0.0010815298971317132
stable_node,0.17840322435994352,573.2814717291378,0.003529649135566831,-0.0010767337752529095
stable_node,0.17840322435994352,573.6877661811075,0.0035139966327760656,-0.0010719589220078967
stable_node,0.17840322435994352,574.0940606330771,0.003498413542053691,-0.0010672052430814928
stable_node,0.17840322435994352,574.5003550850466,0.0034828995555895676,-0.0010624726445766974
stable_node,0.17840322435994352,574.9066495370163,0.0034674543669386557,-0.0010577610330129077
stable_node,0.17840322435994352,575.3129439889859,0.0034520776710147264,-0.0010530703153240123
stable_node,0.17840322435994352,575.7192384409556,0.0034367691640844406,-0.00104840039885658
stable_node,0.17840322435994352,576.1255328929252,0.0034215285437613602,-0.001043751191368029
stable_node,0.17840322435994352,576.5318273448947,0.003406355508999952,-0.0010391226010248084
stable_node,0.17840322435994352,576.9381217968644,0.0033912497600897124,-0.0010345145364005967
