M,eta,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,discriminant,g,gcrit,R_B,bounded_margin,spectral_gap,invariance_residual,spectral_abscissa
5,0.193,-0.05600506502697143,0.0,-0.0621934627031776,0.0,3.829626579887374e-05,-0.008900264970533023,0.009422780003556043,0.6866631984851456,-0.05698730369229921,0.059859507425884036,1.761071114813974e-16,-0.05600506502697135
5,0.194,-0.056197315625868605,0.0,-0.0619685014575572,0.0,3.3306585903883227e-05,-0.00893636155548652,0.009390697755031213,0.6893654819750794,-0.04955046452253298,0.06014464696443545,1.3926103429519795e-16,-0.05619731562586878
5,0.195,-0.05640591145753259,0.0,-0.06172710748331065,0.0,2.831512714475626e-05,-0.008972544289714689,0.009358703586345746,0.6920575939404514,-0.04211257333870655,0.06044647258382967,1.799607191967974e-16,-0.05640591145753339
5,0.196,-0.056635436933739895,0.0,-0.06146469655587859,0.0,2.3321748498019237e-05,-0.009008812786610603,0.009326797143108856,0.6947393515855514,-0.03467446671697505,0.060769569748540614,1.7266314679327628e-16,-0.05663543693374059
5,0.197,-0.05689311847499405,0.0,-0.06117404244925815,0.0,1.8326310073428997e-05,-0.009045166661585337,0.009294978077123803,0.6974105749760388,-0.027236979823182073,0.06112116593254897,1.1891974300232275e-16,-0.05689311847499331
5,0.198,-0.05719162795697285,0.0,-0.06084247348947181,0.0,1.3328673102167541e-05,-0.009081605532056908,0.009263246046361315,0.7000710870841095,-0.019800946057746405,0.06151393406620847,1.6479126724274268e-16,-0.05719162795697344
5,0.199,-0.057557503280248126,0.0,-0.060443451984771183,0.0,8.328699925138348e-06,-0.009118129017434917,0.009231600714928762,0.7027207138319697,-0.012367196702974037,0.06197441310637566,2.212895611325514e-16,-0.05755750328024808
5,0.2,-0.05807196026413268,0.0,-0.059895762331711996,0.0,3.3262539817065988e-06,-0.009154736739103367,0.009200041753041972,0.705359284133429,-0.004936560573553295,0.06258381993066968,2.0469350823285273e-16,-0.05807196026413326
5,0.201,-0.058967201830877225,-0.0006478426123908396,-0.058967201830877225,0.0006478426123908396,-1.678800201717842e-06,-0.009191428320409162,0.009168568836999052,0.7079866299339104,0.0024901363303515556,0.0635776592959098,1.2746785162458088e-16,-0.0589672018308772
5,0.202,-0.05895049934623632,-0.001292922757057829,-0.05895049934623632,0.001292922757057829,-6.686597022872325e-06,-0.00922820338664529,0.009137181649150547,0.7106025862486413,0.009912071166515268,0.06366643084800293,2.5088089352809913e-16,-0.05895049934623637
