tag,beta,A,r,psi,J11,J12,J21,J22,trace,determinant,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,s,g,gcrit,abs_g_over_gcrit,lambda_transverse
locked,0.1,0.17834119984661032,0.8203589550343303,-0.21772345717081112,0.00961722137712441,0.06670797343644595,-0.00847224191939877,-0.05608733094283822,-0.04647010956571381,2.5761810777081963e-05,0.0020564238399411183,-0.04590895960724214,0.0,-0.000561149958471667,0.0,0.02911786575852359,0.03759010767792236,0.043898999478610874,0.8562862052525269,-0.16410793752212383
locked,0.1,0.17834123995503356,0.8203404190337732,-0.21772079465340208,0.009618116105044849,0.06671419502195625,-0.008497139124509223,-0.05608498711493781,-0.04646687100989296,2.744787885978664e-05,0.0020493785860108845,-0.04586846690547078,0.0,-0.000598404104422183,0.0,0.02910852794872351,0.037605667073232735,0.04389226403964076,0.856772096314504,-0.16410470297046392
locked,0.1,0.17834128547570796,0.8203206700822988,-0.2177179585887706,0.009619069382377348,0.06672082335006321,-0.008523663675454873,-0.05608248967694448,-0.04646342029456713,2.92444990463848e-05,0.0020418714292840534,-0.04582524588919464,0.0,-0.0006381744053724839,0.0,0.02909857983730417,0.03762224351275904,0.043885089315784165,0.857289892747864,-0.16410125679962256
locked,0.1,0.17834133713896547,0.8202996286756026,-0.21771493769331485,0.0096200850468918,0.06672788502947949,-0.00855192198740673,-0.05607982852856857,-0.046459743481676766,3.1158947296815374e-05,0.002033871975195945,-0.04577910662362291,0.0,-0.0006806368580538555,0.0,0.02908798152103638,0.03763990350844311,0.043877446711538426,0.8578417006781975,-0.16409758514445172
locked,0.1,0.17834139577368935,0.8202772100824623,-0.2177117199539404,0.009621167188678547,0.06673540841129164,-0.00858202743796388,-0.056076992901222616,-0.04645582571254407,3.3198981928427426e-05,0.002025347814920561,-0.045729845078419984,0.0,-0.0007259806341240876,0.0,0.029076690486663878,0.03765871792462776,0.043869305778149945,0.8584297667045485,-0.16409367322902385
locked,0.1,0.1783414623206129,0.8202533239950637,-0.2177082925808922,0.009622320167029729,0.06674342370458972,-0.008614100828477245,-0.05607397131274777,-0.046451651145718045,3.537287642101468e-05,0.00201626438847943,-0.04567724194510284,0.0,-0.0007744092006152087,0.0,0.029064661438056236,0.03767876226653348,0.04386063409320258,0.8590564875662126,-0.16408950530580457
locked,0.1,0.17834153784741233,0.8202278741606193,-0.21770464195832678,0.009623548628223916,0.0667519630981318,-0.00864827086933373,-0.05607075151962721,-0.04644720289140329,3.768945406222087e-05,0.0020065848401862986,-0.045621061347364045,0.0,-0.0008261415440392536,0.0,0.029051846114399038,0.03770011698373277,0.04385139713434123,0.8597244203699218,-0.16408506459158823
locked,0.1,0.17834162356583674,0.8202007579883082,-0.21770075359182245,0.00962485752450262,0.06676106089001516,-0.008684674697074235,-0.056067320465911764,-0.04644246294140914,4.015812499631631e-05,0.0019962698640788963,-0.045561049420269964,0.0,-0.0008814135211391849,0.0,0.02903819309647046,0.037722867793544695,0.04384155814508622,0.8604362935438391,-0.16408033319915727
locked,0.1,0.17834172085114922,0.8201718661273452,-0.21769661205228924,0.009626252134440664,0.06677075362672288,-0.0087234584288024,-0.05606366422830564,-0.046437412093864976,4.2788926080232374e-05,0.001985277537654508,-0.04549693273609307,0.0,-0.0009404793577718895,0.0,0.029023647598960242,0.03774710602776264,0.04383107799136113,0.8611950186395688,-0.16407529206393823
locked,0.1,0.1783418312641915,0.8201410820181845,-0.217692200916645,0.009627738084614026,0.06678108025082886,-0.008764777750979058,-0.05605976795763935,-0.046432029873025325,4.5592563388422306e-05,0.0019735631445758272,-0.04542841656587181,0.0,-0.0010036133071535253,0.0,0.029008151249924903,0.03777292900090396,0.04381991500963105,0.8620037029419606,-0.16406992086600983
locked,0.1,0.1783419565764262,0.8201082814101649,-0.2176875027043764,0.009629321372888008,0.06679208225955849,-0.008808798551378838,-0.056055615815855,-0.04642629444296699,4.8580458005563365e-05,0.0019610789836828142,-0.04535518294362755,0.0,-0.0010711114993394444,0.0,0.028991641854089825,0.03780044040546866,0.04380802484440598,0.8628656630771508,-0.16406419794630003
locked,0.1,0.178342098798358,0.8200733318542067,-0.21768249881132562,0.00963100839291063,0.06680380387125764,-0.008855697582345945,-0.056051190909556785,-0.046420182516646154,5.176479435163159e-05,0.0019477741674722147,-0.04527688853087837,0.0,-0.0011432939857677904,0.0,0.02897405314445585,0.037829750726801795,0.043795360278458886,0.863784439408041,-0.16405810021848058
locked,0.1,0.17834226021179,0.8200360921499958,-0.21767716943784696,0.00963280596080346,0.06681629220660991,-0.00890566318273922,-0.05604647521749342,-0.04641366925668996,5.515857295445732e-05,0.0019335944020515772,-0.045193162209660014,0.0,-0.0012205070470299381,0.0,0.028955314511935344,0.037860977694674565,0.04378187104852349,0.8647638117775552,-0.16405160307297878
locked,0.1,0.17834244340643313,0.8199964117663583,-0.21767149351415557,0.009634721343147646,0.06682959747824903,-0.008958896033036234,-0.05604144951428868,-0.04640672817114103,5.877566600104521e-05,0.0019184817555459937,-0.04510360241501567,0.0,-0.0013031257561253798,0.0,0.028935350722606397,0.03789424675564263,0.04376750365355592,0.8658078161276144,-0.16404468027637698
locked,0.1,0.17834265132145513,0.8199541302144198,-0.217665448620069,0.009636762287249996,0.06684377319553392,-0.009015609970687732,-0.05603609328779652,-0.04639933100054652,6.263087757938487e-05,0.0019023744069807383,-0.04500777412402109,0.0,-0.0013915568765254308,0.0,0.028914081612423093,0.037929691583110825,0.04375220114845758,0.8669207625556911,-0.16403730386264953
locked,0.1,0.17834288729263656,0.8199090763810629,-0.21765901090038484,0.009638937053326602,0.06685887638186869,-0.00907603285516656,-0.05603038465097196,-0.04639144759764536,6.674000797696416e-05,0.0018852063782972186,-0.044905205473296274,0.0,-0.0014862421243490853,0.0,0.028891421763351063,0.037967454618517624,0.04373590292635445,0.868107254638137,-0.16402944401755762
