A,r,psi,discriminant,lambda1_real,lambda1_imag,lambda2_real,lambda2_imag,g_declared_metric,gcrit_declared_metric,R_B_declared_metric,bounded_margin,lambda_transverse
0.1789289327022755,0.8076422808448399,-0.21603174050700252,-0.002962625699924908,-0.022100757281353748,0.02721500367409908,-0.022100757281353748,-0.02721500367409908,0.06433091889575658,0.058290742841305296,0.741039408906068,0.0982788111037094,-0.16189801789817418
0.1789331029865739,0.807594833947452,-0.21602589742344575,-0.0029820414040524212,-0.022096443907866626,0.027304035434585587,-0.022096443907866626,-0.027304035434585587,0.06436404579437285,0.058285676113493105,0.7412404137235348,0.0988747018740741,-0.16188980748492987
0.17893727327087225,0.8075475437201491,-0.2160200768463473,-0.0030013980477442,-0.022092144221434462,0.02739250831771434,-0.022092144221434462,-0.02739250831771434,0.06439705873389337,0.05828062852818647,0.7414405537947817,0.09946818962302517,-0.1618816244457954
0.17894144355517064,0.8075004085218187,-0.21601427853940053,-0.0030206962523876835,-0.02208785807879426,0.027480430547881147,-0.02208785807879426,-0.027480430547881147,0.06442995890833994,0.058275599883943305,0.741639838269444,0.10005929941665426,-0.16187346849424492
0.17894561383946903,0.8074534267397896,-0.21600850227039592,-0.003039936628592952,-0.02208358533916556,0.027567810162365765,-0.02208358533916556,-0.027567810162365765,0.0644627474910406,0.058270589982815715,0.7418382761383145,0.10064805588773251,-0.16186533934871736
0.1789497841237674,0.8074065967891689,-0.2160027478111259,-0.003059119776442531,-0.02207932586419245,0.027654655017024406,-0.02207932586419245,-0.027654655017024406,0.06449542563511172,0.0582655986302689,0.7420358762370705,0.10123448324583384,-0.1618572367325011
0.1789539544080658,0.8073599171121806,-0.21599701493728923,-0.0030782462857424364,-0.022075079517885947,0.027740972791804,-0.022075079517885947,-0.027740972791804,0.06452799447393964,0.058260625635099185,0.742232647249979,0.10181860528742326,-0.16184916037361796
0.1789581246923642,0.8073133861774155,-0.21599130342838316,-0.0030973167363119343,-0.022070846166558526,0.02782677099625439,-0.022070846166558526,-0.02782677099625439,0.06456045512172642,0.058255670809342394,0.7424285977139664,0.10240044540705306,-0.16184111000469303
0.17896229497666258,0.8072670024793913,-0.21598561306763986,-0.0031163316981400527,-0.02206662567878561,0.027912056974272126,-0.02206662567878561,-0.027912056974272126,0.0645928086738092,0.05825073396821973,0.7426237360212804,0.10298002660440875,-0.16183308536287708
0.17896646526096097,0.8072207645377809,-0.2159799436419155,-0.003135291731687532,-0.022062417925338362,0.02799683790934047,-0.022062417925338362,-0.02799683790934047,0.06462505620722259,0.058245814930042786,0.7428180704236212,0.10355737149574384,-0.16182508618971253
0.17897063554525935,0.807174670896917,-0.21597429494161846,-0.0031541973880696884,-0.022058222779140366,0.028081120829080545,-0.022058222779140366,-0.028081120829080545,0.0646571987810589,0.05824091351615239,0.7430116090350145,0.10413250232160243,-0.16181711223104642
0.17897480582955774,0.8071287201251878,-0.21596866676062265,-0.003173049209286752,-0.022054040115214904,0.028164912609871293,-0.022054040115214904,-0.028164912609871293,0.06468923743690738,0.058236029550844996,0.7432043598351428,0.10470544095592871,-0.16180916323692537
0.17897897611385613,0.8070829108144981,-0.21596305889618964,-0.0031918477284279077,-0.02204986981063791,0.02824821998121256,-0.02204986981063791,-0.02824821998121256,0.06472117319924685,0.0582311628613059,0.7433963306723794,0.10527620891431533,-0.16180123896150128
0.17898314639815452,0.8070372415797094,-0.21595747114888802,-0.003210593469884733,-0.02204571174448909,0.028331049529997706,-0.02204571174448909,-0.028331049529997706,0.06475300707585313,0.05822631327754062,0.7435875292668901,0.10584482736247636,-0.16179333916293356
0.1789873166824529,0.8069917110581443,-0.215951903322522,-0.003229286949537431,-0.02204156579780873,0.028413407704539036,-0.02204156579780873,-0.028413407704539036,0.06478474005815918,0.05822148063231385,0.7437779632134294,0.106411317123835,-0.16178546360330273
